description,unit,rate
Gunmetal cramps.,One Kilogram,723.0
Stainless steel cramps.,One Kilogram,714.0
Fastner with threaded dia. 6 mm.,Each,37.0
Fastner with threaded dia. 10 mm.,Each,40.0
Fastner with threaded dia. 12 mm.,Each,62.0
Raj Nagar plain/ Udaipur green marble/ Zebra black marble.,One Square Metre,3190.0
Granite of any colour and shade.,One Square Metre,3618.0
White Agaria Marble stone.,One Square Metre,3500.0
Granite Stone of approved shade.,One Square Metre,4052.0
"18 mm thick Italian Marble stone slab,Perlato, Rosso verona, Fire Red or Dark Emperadore etc.",One Square Metre,10415.0
70 mm thick,One Square Metre,6282.0
60 mm thick,One Square Metre,6036.0
50 mm thick,One Square Metre,5790.0
40 mm thick,One Square Metre,5543.0
30 mm thick,One Square Metre,5296.0
70 mm thick,One Square Metre,8502.0
60 mm thick,One Square Metre,8256.0
50 mm thick,One Square Metre,8010.0
40 mm thick,One Square Metre,7763.0
30 mm thick,One Square Metre,7516.0
70 mm thick,One Square Metre,7278.0
60 mm thick,One Square Metre,6889.0
50 mm thick,One Square Metre,6502.0
40 mm thick,One Square Metre,6111.0
30 mm thick,One Square Metre,5723.0
70 mm thick,One Square Metre,9498.0
60 mm thick,One Square Metre,9109.0
50 mm thick,One Square Metre,8721.0
40 mm thick,One Square Metre,8331.0
30 mm thick,One Square Metre,7943.0
30mm thick White sand stone,One Square Metre,3257.0
30mm thick Red sand stone,One Square Metre,3119.0
P/F stainless steel cramps :,One Kilogram,714.0
P/F copper pins 7.5 cm long 6 mm diameter for securing adjacent stones in stone wall lining :,Each,44.0
Wall lining butch work upto 10m height with Dholpur stone 40 mm thick rough facing on the exposed surface with stone strips of minimum length 300 mm and required width:,One Square Metre,3135.0
25 mm thick,One Square Metre,2651.0
Extra for stone work for wall lining on exterior walls of height more than 10 m from ground level for every additional height of 3 m or part there of.,One Square Metre,166.0
Red sand stone - 30mm thick gang saw cut stone,One Square Metre,2903.0
White sand stone - 30mm thick gang saw cut stone,One Square Metre,3040.0
P/F adjustable stainless steel cramps of approved quality,Each,437.0
Providing 50x50x50 mm 2nd class teak wood plugs,Each,41.0
25 mm long,Each,22.0
32 mm long,Each,24.0
40 mm long,Each,28.0
50 mm long,Each,30.0
40 mm thick,One Square Metre,6647.0
25 mm thick,One Square Metre,4438.0
20 mm thick,One Square Metre,3601.0
12 mm thick,One Square Metre,2423.0
12 mm thick,One Square Metre,1430.0
18 mm thick,One Square Metre,1493.0
25 mm thick,One Square Metre,1980.0
Kiln seasoned and chemically treated hollock wood,One Cubic Metre,187278.0
Decorative veneer facings of approved manufacture,One Square Metre,1946.0
"P/F 4mm thick coir veneer board, plain lining",One Square Metre,1825.0
18 mm thick,One Square Metre,1976.0
25 mm thick,One Square Metre,2463.0
"P/F Ist quality ceramic glazed wall tiles conforming to IS: 15622 (thickness to be specified by the manufacturer), of approvedmake, in all colours, shades except burgundy, bottle green, black of any size as approved by Engineer-in-Charge, in skirting, risers of steps and dados, over 12 mm thick bed of cement mortar 1:3 (1 cement : 3 coarse sand) and jointing with grey cement slurry @ 3.3kg per sqm, including pointing in white cement mixed with pigment of matching shade complete.",One Square Metre,1268.0
"Designing, fabricating, testing, installing and fixing in position Curtain Wall with Aluminium Composite Panel Cladding, with open grooves for linear as well as curvilinear portions of the building , for all heights and all levels etc.",One Square Metre,5015.0
2nd class teak wood,One Cubic Metre,142950.0
Sal Wood.,One Cubic Metre,116520.0
Kiln seasoned and chemically treated hollock wood.,One Cubic Metre,83378.0
"Providing laminated veneer lumber factory made doors, windows frames etc",One Cubic Metre,131981.0
Sal wood .,One Cubic Metre,104754.0
Kiln seasoned and chemically treated hollock wood.,One Cubic Metre,71338.0
2nd class teak wood,One Cubic Metre,14295.0
Sal wood.,One Cubic Metre,11652.0
Kiln seasoned and chemically treated hollock wood.,One Cubic Metre,8338.0
35 mm thick,One Square Metre,4112.0
30 mm thick,One Square Metre,3747.0
35 mm thick,One Square Metre,2869.0
30 mm thick,One Square Metre,2677.0
35 mm thick shutters,One Square Metre,3638.0
30 mm thick shutters,One Square Metre,3339.0
"12mm thick plain Grade-1, medium density flat pressed 3 layer or graded particle board (FPT-1)",One Square Metre,3069.0
"12mm thick pre-laminated decorative lamination on both sides) particle board Grade-1 medium density flat pressed, 3 layer and graded (FPT-1)",One Square Metre,3213.0
"12mm thick pre-laminated (decorative lamination on one side & other side balancing) Grade-1, medium density flat pressed, 3 layer & graded (FPT-1)",One Square Metre,3450.0
2nd class teak wood,One Square Metre,3323.0
Kiln seasoned and chemically treated hollock wood,One Square Metre,2327.0
Decorative ply wood,One Square Metre,2724.0
Decorative ply wood one side decorative and commercial on other face (Type-I) BWR type,One Square Metre,2698.0
Decorative ply wood one side decorative and commercial on other face (Type-I) BWR type,One Square Metre,2907.0
Pain particle board flat pressed 3 layer grade I,One Square Metre,1693.0
Vneered particle board with commercial veneering on both sides,One Square Metre,2012.0
particle board decorative lamination one side balancing other side grade I Type-II,One Square Metre,2081.0
"prelaminated particle board decorative lamination both side grade I, type II",One Square Metre,2053.0
12 mm thick,One Square Metre,2253.0
4.00mm thick glass panes,One Square Metre,2242.0
5.5 mm thick glass panes,One Square Metre,2600.0
"Fly proof SS wire gauge 304, 0.5mm dia. and 1.4mm wide with wooden beading.",One Square Metre,1800.0
35 mm thick,One Square Metre,4940.0
30 mm thick,One Square Metre,4523.0
35 mm thick.,One Square Metre,3525.0
30 mm thick.,One Square Metre,3305.0
35 mm thick,One Square Metre,4402.0
30 mm thick,One Square Metre,4059.0
30 mm thick shutters.,One Square Metre,3066.0
5.5mm instead of 4mm,One Square Metre,296.0
Extra for using frosted glass panes 4mm instead of 4mm ordinary glass panes,One Square Metre,176.0
Extra for providing stainless steel butt hinges instead of MS butt hinges with screws,One Square Metre,194.0
2nd class teak wood i/c anodised aluminium hinges,One Square Metre,4403.0
Second class teak wood including ISI marked nickel plated bright finished M.S. piano hinges with necessary screws.,One Square Metre,4543.0
2nd class teak wood i/c anodised aluminium hinges,One Square Metre,4193.0
Second class teak wood including ISI marked nickel plated bright finished M.S. piano hinges with necessary screws.,One Square Metre,4241.0
12 mm thick,One Square Metre,803.0
18 mm thick,One Square Metre,1021.0
18 mm thick,One Square Metre,1246.0
25 mm thick,One Square Metre,1715.0
35mm thick i/c stainless steel butt hinges,One Square Metre,3474.0
30mm thick i/c stainless steel butt hinges,One Square Metre,3168.0
25mm thick i/c nickel plated MS Piano hinges,One Square Metre,2819.0
35mm thick i/c Stainless steel butt hinges,One Square Metre,2393.0
30mm thick i/c stainless steel butt hinges,One Square Metre,2172.0
25mm thick i/c nickel plated MS Piano hinges,One Square Metre,2094.0
On one side in item 9.25,One Square Metre,478.0
Extra for providing lipping with 2nd class teak wood battens 25mm minimum depth on all edges of shutters Over item 9.24 and 9.25,One Square Metre,462.0
Rectangular or square,One Square Metre,199.0
Circular,One Square Metre,206.0
Decorative type door,One Square Metre,405.0
Extra for cutting rebate in flush door shutters,One Square Metre,107.0
with ISI marked M.S. pressed butt hinges bright finished of required size. -Second class teak wood,One Square Metre,4852.0
with ISI marked M.S. pressed butt hinges bright finished of required size -Kiln seasoned and chemically treated hollock wood.,One Square Metre,3599.0
with ISI marked M.S. pressed butt hinges bright finished of required size - Kiln seasoned selected class of sheesham wood.,One Square Metre,4375.0
With ISI marked stainless steel butt hinges of required size - Second class teak wood.,One Square Metre,5046.0
With ISI marked stainless steel butt hinges of required size - Kiln seasoned and chemically treated hollock wood.,One Square Metre,3793.0
With ISI marked stainless steel butt hinges of required size - Kiln seasoned selected class of sheesham wood.,One Square Metre,4569.0
with ISI marked M.S. pressed butt hinges bright finished of required size - Second class teak wood.,One Square Metre,4327.0
with ISI marked M.S. pressed butt hinges bright finished of required size - Kiln seasoned and chemically treated hollock wood.,One Square Metre,3254.0
with ISI marked M.S. pressed butt hinges bright finished of required size - Kiln seasoned selected class of sheesham wood.,One Square Metre,3918.0
With ISI marked stainless steel butt hinges of required size - Second class teak wood.,One Square Metre,4520.0
With ISI marked stainless steel butt hinges of required size - Kiln seasoned and chemically treated hollock wood.,One Square Metre,3448.0
With ISI marked stainless steel butt hinges of required size - Kiln seasoned selected class of sheesham wood.,One Square Metre,4112.0
35 mm thick,One Square Metre,3066.0
30 mm thick,One Square Metre,2803.0
50 x 12 mm.,One Metre,221.0
50 x 20 mm.,One Metre,272.0
50 x 12 mm.,One Metre,186.0
50 x 20 mm.,One Metre,213.0
Second class teak wood.,One Square Metre,2945.0
"P/F 18mm thick 150mm wide pelmet of flat pressed 3 layer top cover with 6mm commercial plywood, MS nickel pipe 20mm dia",One Metre,601.0
"P/F 18mm thick, 150mm wide pelmet of Coir veneer board i/c top cover of 6mm coir veneer board, nickle plated MS pipe 20 mm dia curtain rod, nickel plated brackets",One Metre,726.0
Non-Decorative veneer both face,One Metre,39.0
"particle board, decorative veneering on both face",One Metre,125.0
P/F teak wood lipping of size 25 x 3 mm in pelmet,One Metre,74.0
12 mm diametre,One Metre,285.0
20 mm diametre,One Metre,393.0
25 mm diametre,One Metre,526.0
20 mm dia (heavy type),One Metre,175.0
25 mm dia (heavy type),One Metre,186.0
fixed by welding,One Kilogram,219.0
Fixed to openings/wooden frames with rawl plugs screws etc,One Kilogram,238.0
P/F expanded metal 20x60mm strands 3.2mm wide & 1.6mm thick for windows etc i/c 62x19mm beading of 2nd class teak wood,One Square Metre,1422.0
P/F hard drawn steel wire fabric 75 x 25 mm mesh of weight not less than 7.75 kg per sqm to window frames etc. i/c 62 x 19mm beading of IInd class teak wood.,One Square Metre,1641.0
With 2nd class teak wood beading 62x19 mm.,One Square Metre,1308.0
With 12 mm mild steel U beading.,One Square Metre,939.0
P/F 40x5mm Flat iron hold fast i/c embedding in CC blocks.,Each,229.0
Sal wood.,One Cubic Metre,103140.0
Hollock wood.,One Cubic Metre,69178.0
125 x 65 x 2.12 mm.,Each,53.0
100 x 58 x 1.90 mm.,Each,45.0
75 x 47 x 1.70 mm.,Each,39.0
50 X 37 X 1.50 mm.,Each,19.0
125 x 90 x 4.00 mm.,Each,71.0
100 x 75 x 3.50 mm.,Each,62.0
75 x 60 x 3.10 mm.,Each,48.0
50 x 40 x 2.50 mm.,Each,28.0
125 x 65 x 2.12 mm.,Each,56.0
100 x 58 1.90 mm.,Each,48.0
75 x 47 x 1.70 mm.,Each,41.0
50 x 37 x 1.50 mm.,Each,20.0
150x125x27x2.80 mm,Each,92.0
125x125x27x2.80 mm,Each,86.0
100x125x27x2.80 mm,Each,75.0
75 x 100 x 20 x 2.24 mm.,Each,67.0
150 mm.,Each,291.0
125 mm.,Each,263.0
100 mm.,Each,233.0
150 mm.,Each,327.0
125 mm.,Each,291.0
100 mm.,Each,261.0
Overall width 35 mm.,One Metre,336.0
Overall width 50 mm.,One Metre,338.0
Overall width 65 mm.,One Metre,358.0
300 x 16 mm .,Each,217.0
250 x 16 mm .,Each,194.0
250 x 10 mm .,Each,84.0
200 x 10 mm .,Each,69.0
150 x 10 mm .,Each,59.0
100 x 10 mm .,Each,44.0
P / F ISI marked 85x 42 mm oxidised M.S. pull bolt lock,Each,122.0
300 x 20 x 6 mm.,Each,98.0
250 x 20 x 6 mm.,Each,80.0
125 mm .,Each,40.0
100 mm .,Each,33.0
75 mm .,Each,30.0
150 mm .,Each,33.0
115 mm .,Each,30.0
90 mm.,Each,25.0
300 mm weighing not less than 200 gms.,Each,67.0
250 mm weighing not less than 150 gms.,Each,61.0
200 mm weighing not less than 120 gms.,Each,54.0
P/F oxidised M.S safety chain.,Each,101.0
125 x 64 x 1.90 mm.,Each,118.0
100 x 58 x 1.90 mm.,Each,107.0
75 x 47 x 1.80 mm.,Each,80.0
50 x 37 x 1.50 mm.,Each,44.0
125 x 64 x 2.50 mm.,Each,130.0
100 x 60 x 2.50 mm.,Each,106.0
75 x 50 x 2.50 mm.,Each,89.0
125 x 85 x 5.5 mm (heavy type).,Each,269.0
125 x 70 x 4 mm (ordinary type).,Each,185.0
100 x 85 x 5.5 mm (heavy type).,Each,206.0
100 x 70 x 4 mm (ordinary type).,Each,148.0
75 x 65 x 4 mm (heavy type).,Each,173.0
75 x 40 x 2.5 mm (ordinary type).,Each,102.0
50 x 40 x 2.5 mm (ordinary type).,Each,41.0
150 x 125 x 27 x 5 mm.,Each,463.0
125 x 125 x 27 x 5 mm.,Each,415.0
100 x 125 x 27 x 5 mm.,Each,382.0
75 x 100 x 20 x 3.2 mm.,Each,339.0
250 x 10 mm.,Each,442.0
200 x 10 mm.,Each,358.0
150 x 10 mm.,Each,287.0
100 x 10 mm.,Each,198.0
300 x 16 x 5 mm.,Each,322.0
250 x 16 x 5 mm.,Each,308.0
P/F bright finished brass 100 mm mortice latch and lock with 6 levers and a pair of lever handles.,Each,855.0
P/F bright finished brass 100 mm mortice latch with one dead bolt and a pair of lever handles.,Each,727.0
P/F bright finished brass night latch.,Each,1183.0
40 mm.,Each,311.0
50 mm.,Each,357.0
65 mm.,Each,362.0
75 mm.,Each,387.0
P/F 50 mm bright finished brass cup board or wardrobe knob.,Each,74.0
125 mm.,Each,257.0
100 mm.,Each,235.0
75 mm.,Each,185.0
P/F bright finished brass hanging type floor door stopper.,Each,122.0
P/F IS : 3564 Aluminium die hydraulic door closer.,Each,1125.0
P/F IS : 3564 Aluminium extruded hydraulic door closer double speed.,Each,983.0
P/F bright finished brass casement window fastener.,Each,89.0
300 mm weighing not less than 330 gms.,Each,218.0
250 mm weighing not less than 280 gms.,Each,176.0
200 mm weighing not less than 240 gms.,Each,167.0
150 mm.,Each,139.0
115 mm.,Each,126.0
90 mm.,Each,111.0
P/F chromium plated brass 100 mm mortice latch and lock with 6 levers and a pair of handles with n/ascrews.,Each,998.0
P/F chromium plated brass night latch.,Each,953.0
Size 40 mm.,Each,320.0
Size 50 mm.,Each,334.0
Size 65 mm.,Each,372.0
Size 75 mm.,Each,409.0
P/F chromium plated brass 50 mm cupboard or wardrobe knobs with nuts complete :-,Each,151.0
125 mm.,Each,231.0
100 mm.,Each,206.0
75 mm.,Each,176.0
P/F chromium plated brass casement window fastener.,Each,155.0
300 mm weighing not less than 330 gms.,Each,215.0
250 mm weighing not less than 280 gms.,Each,191.0
200 mm weighing not less than 240 gms.,Each,167.0
125 x 75 x 4 mm.,Each,150.0
125 x 63 x 4 mm.,Each,127.0
100 x 75 x 4 mm.,Each,115.0
100 x 63 x 4 mm.,Each,105.0
100 x 63 x 3.2 mm.,Each,97.0
75 x 63 x 4 mm.,Each,88.0
75 x 63 x 3.2 mm.,Each,82.0
300 x 16 mm .,Each,303.0
250 x 16 mm .,Each,261.0
300 x 10 mm .,Each,130.0
250 x 10 mm .,Each,115.0
200 x 10 mm .,Each,100.0
150 x 10 mm .,Each,83.0
100 x 10 mm .,Each,65.0
P/F aluminium pull bolt lock .,Each,101.0
P/F 50 cm long aluminium kicking plate 100 x 3.15 mm .,Each,239.0
125 mm .,Each,66.0
100 mm .,Each,60.0
75 mm .,Each,52.0
Single rubber stopper .,Each,40.0
Twin rubber stopper .,Each,72.0
P/F aluminium casement stays anodised (anodic coating not less than grade AC 10 as per IS : 1868).,Each,72.0
P/F bright finished brass 100mm mortice latch and lock with six levers (Best make of approved quality).,Each,869.0
"P/F aluminium tee chanals (heavy duty) with rollers, stop end in pelmets as curtain rod.",One Metre,160.0
75 mm overall thickness partition with 12.5 mm thick double skin fire rated board conforming to IS: 2095: part I.,One Square Metre,2131.0
75mm overall thickness partition with 12.5 mm thick double skin tapered edged plain Gypsum board conforming to IS: 2095: part I,One Square Metre,1818.0
66 mm overall thickness partition with 8 mm thick double skin Calcium Sili- cate board.,One Square Metre,2225.0
66 mm overall thickness partition using 8 mm thick double skin cement board as per IS:14862 with suita- ble fibre cement screws.,One Square Metre,2063.0
66 mm overall thickness partition using 8 mm thick double skin multipurpose cement bonded wood particle board ...... with suitable cement bonded,One Square Metre,2034.0
125 x 34 x 24 mm weighing not less than 24 grams.,Each,43.0
125 x 34 x 24 mm weighing not less than 24 grams.,Each,42.0
75 x 60 x 10 mm fitted with 5.5 mm dia. M.S bright bar.,Each,76.0
100 x 75 x 10 mm fitted with 5.5 mm dia. M.S bright bar.,Each,89.0
152 x 42 x 18 mm weighing not less than 60 grams.,Each,70.0
202 x 42 x 18 mm weighing not less than 78 grams.,Each,106.0
P/F PTMT door clacher of length 72 mm and dia. of 42 mm with suitable washers weighing 33 grams.,Each,40.0
P/F Bamboo jaffery/ fencing consisting of superior quality 25 mm dia. half cut bamboo.,One Square Metre,689.0
50x50 mm (base and height).,One Metre,354.0
P/F second class teak wood lipping/moulded beading or taj beading of size 18x5mm.,One Metre,102.0
P/F bright finished 100 mm mortice lock with 6 levers without handles for aluminium door.,Each,850.0
Triple strip vertical type.,Each,53.0
Doublee strip horizontal type.,Each,40.0
P/F powder coated telescopic drawer channels 300 mm long.,Each Set,414.0
P/F sliding arrangement in racks/ cupboards/ cabinate shutter.,Each,20.0
